DDCTransactionId69AE36A9194AFB26E9AD558095431EE4_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_300F91D746B84377794E1FA74622CC3__215679D37B32B731D166A2C5BC282D079163F18C, StartTime=2016.05.15-12.41.20, HierarchicalDDC=, DataSize=1283, Duration=0.021484, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1C235FB27240DEF9C018C8910909FCEE_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_300F91D746B84377794E1FA74622CC3__D37F66297C91D3F89DE52480ABFD1F6D2C9E8415, StartTime=2016.05.15-12.41.20, HierarchicalDDC=, DataSize=771, Duration=0.014991, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1C235FB27240DEF9C018C8910909FCEE_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_300F91D746B84377794E1FA74622CC3__2073FDC26C5DBF30C2FB036D844C862F26A2F643, StartTime=2016.05.15-12.41.20, HierarchicalDDC=, DataSize=1909, Duration=0.011809, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId93EF6B67AA491D38BA6D7B931AD3ADA8_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_85FC7F37403CE73D131A07B7948FB00B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-12.41.21, Duration=1.182344, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_85FC7F37403CE73D131A07B7948FB00__01326702C5EFC3FBDFBD415A05FB2A8E7CC4ED94, StartTime=2016.05.15-12.41.21, HierarchicalDDC=, DataSize=65797, Duration=0.620782, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId69AE36A9194AFB26E9AD558095431EE4_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_85FC7F37403CE73D131A07B7948FB00__32482B4631A71CF4A237EB0E091DEEB0565091FB, StartTime=2016.05.15-12.41.21, HierarchicalDDC=, DataSize=22665, Duration=0.074293, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId93EF6B67AA491D38BA6D7B931AD3ADA8_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_4270CDCA43F8AFDE7C5059A4A1A23423_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-12.41.21, Duration=22.858400, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId69AE36A9194AFB26E9AD558095431EE4_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_4270CDCA43F8AFDE7C5059A4A1A23423___F5CD793092D46075D2183AF30808170E995F622A, StartTime=2016.05.15-12.41.21, HierarchicalDDC=, DataSize=262403, Duration=1.207944, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_4270CDCA43F8AFDE7C5059A4A1A23423___8C609A4A1A8E5D23C8ABD7B180919FB5D543DA27, StartTime=2016.05.15-12.41.21, HierarchicalDDC=, DataSize=65795, Duration=0.096969, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_4270CDCA43F8AFDE7C5059A4A1A23423___791B68FF9468098C9E1A5DABC0A70E66308BE2CE, StartTime=2016.05.15-12.41.21, HierarchicalDDC=, DataSize=16643, Duration=0.066701, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_4270CDCA43F8AFDE7C5059A4A1A23423___852509BD2EDB904A62674F3FFF60FE49FB55CA8A, StartTime=2016.05.15-12.41.21, HierarchicalDDC=, DataSize=6882, Duration=0.046968, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
CookerStat, GenerateAssetRegistry=0.022173, Initialize=0.151277, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
SavePackageTransactionIdDC4410A0F54453E7213BC695F824FA1D_0, Filename=../../../../../../ianrapoport/Spring-Red-Creek/RedCreek/Content/NewDialogue/BlueprintDialogues/Blueprints/BPC_Dialogue.uasset, AutoPackageBackupDelegate=11.334796, FlushAsyncLoading=0.010923, FlushStreamingFunc=0.163633, BlockTillAllRequestsFinished=0.009540, ResetLoadersForSaveUnMarkAllObjects=0.190757, TagPackageExports=323.697479, BeginCacheForCookedPlatformData=0.004247, SerializeImports=278.927734, GatherLocalizableTextData=115.714973, MarkNames=0.865050, SerializeSummary=0.031948, SerializeNames=1.061998, SerializeGatherableTextData=0.834458, BuildExportMap=1.483444, SortExportsNonSeekfree=50.585102, SortExportsSeekfreeConstructor=0.100125, SortExportsSeekfreeInner=332.348572, SortExportsSeekfree=0.006132, BuildDependencyMap=5.062647, SerializeImportMap=0.062104, SerializeExportMap=0.690758, SerializeDependencyMap=0.187963, SerializeStringAssetReferenceMap=0.007309, SaveThumbNailsAssetRegistryDataWorldLevelInfo=35.736164, SerializeExports=314.351562, SerializeBulkData=0.021156, MoveFile=3.428727, UnaccountedTime=1.363728, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
SavePackageTransactionIdDC4410A0F54453E7213BC695F824FA1D_1, Filename=../../../../../../ianrapoport/Spring-Red-Creek/RedCreek/Content/RedCreek/Levels/AITests.umap, AutoPackageBackupDelegate=6.110527, FlushAsyncLoading=0.006333, FlushStreamingFunc=0.078842, BlockTillAllRequestsFinished=0.005219, ResetLoadersForSaveUnMarkAllObjects=154.308609, TagPackageExports=44.449371, BeginCacheForCookedPlatformData=0.006545, SerializeImports=43.672741, GatherLocalizableTextData=29.724285, MarkNames=0.141490, SerializeSummary=0.014622, SerializeNames=0.494041, SerializeGatherableTextData=0.143439, BuildExportMap=0.417579, SortExportsNonSeekfree=2.497509, SortExportsSeekfreeConstructor=0.051323, SortExportsSeekfreeInner=62.285995, SortExportsSeekfree=0.007935, BuildDependencyMap=0.253592, SerializeImportMap=0.051513, SerializeExportMap=0.111230, SerializeDependencyMap=0.020113, SerializeStringAssetReferenceMap=0.002299, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.266417, SerializeExports=44.503532, SerializeBulkData=4.234228, MoveFile=0.647116, UnaccountedTime=0.453528, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
SavePackageTransactionIdDC4410A0F54453E7213BC695F824FA1D_2, Filename=../../../../../../ianrapoport/Spring-Red-Creek/RedCreek/Content/NewDialogue/BlueprintDialogues/Blueprints/BPC_Dialogue.uasset, AutoPackageBackupDelegate=11.306677, FlushAsyncLoading=0.007987, FlushStreamingFunc=0.092506, BlockTillAllRequestsFinished=0.008099, ResetLoadersForSaveUnMarkAllObjects=0.245776, TagPackageExports=312.625183, BeginCacheForCookedPlatformData=0.003781, SerializeImports=421.501923, GatherLocalizableTextData=119.805725, MarkNames=0.783905, SerializeSummary=0.021610, SerializeNames=1.025301, SerializeGatherableTextData=0.785615, BuildExportMap=1.324132, SortExportsNonSeekfree=50.160130, SortExportsSeekfreeConstructor=0.080973, SortExportsSeekfreeInner=305.851929, SortExportsSeekfree=0.006042, BuildDependencyMap=4.250839, SerializeImportMap=0.046283, SerializeExportMap=0.663552, SerializeDependencyMap=0.162374, SerializeStringAssetReferenceMap=0.003237, SaveThumbNailsAssetRegistryDataWorldLevelInfo=38.262856, SerializeExports=352.815063, SerializeBulkData=0.006076, MoveFile=4.286744, UnaccountedTime=1.281030, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
SavePackageTransactionIdDC4410A0F54453E7213BC695F824FA1D_3, Filename=../../../../../../ianrapoport/Spring-Red-Creek/RedCreek/Content/RedCreek/Levels/AITests.umap, AutoPackageBackupDelegate=14.805276, FlushAsyncLoading=0.015981, FlushStreamingFunc=0.164270, BlockTillAllRequestsFinished=0.012953, ResetLoadersForSaveUnMarkAllObjects=167.927734, TagPackageExports=65.855247, BeginCacheForCookedPlatformData=0.006739, SerializeImports=52.126591, GatherLocalizableTextData=31.006880, MarkNames=0.156965, SerializeSummary=0.014588, SerializeNames=0.491321, SerializeGatherableTextData=0.172950, BuildExportMap=0.449471, SortExportsNonSeekfree=2.562098, SortExportsSeekfreeConstructor=0.055581, SortExportsSeekfreeInner=65.151459, SortExportsSeekfree=0.007056, BuildDependencyMap=0.289824, SerializeImportMap=0.054806, SerializeExportMap=0.092980, SerializeDependencyMap=0.024199, SerializeStringAssetReferenceMap=0.002291, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.850047, SerializeExports=42.618137, SerializeBulkData=4.199852, MoveFile=0.604693, UnaccountedTime=0.409689, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
SavePackageTransactionIdDC4410A0F54453E7213BC695F824FA1D_4, Filename=../../../../../../ianrapoport/Spring-Red-Creek/RedCreek/Content/RedCreek/Blueprints/AI/MainCharacter.uasset, AutoPackageBackupDelegate=6.516766, FlushAsyncLoading=0.008587, FlushStreamingFunc=0.064723, BlockTillAllRequestsFinished=0.004426, ResetLoadersForSaveUnMarkAllObjects=0.129819, TagPackageExports=13.178513, BeginCacheForCookedPlatformData=0.008147, SerializeImports=15.032735, GatherLocalizableTextData=4.784774, MarkNames=0.044826, SerializeSummary=0.011016, SerializeNames=0.198849, SerializeGatherableTextData=0.030342, BuildExportMap=0.198696, SortExportsNonSeekfree=0.772431, SortExportsSeekfreeConstructor=0.051364, SortExportsSeekfreeInner=18.270679, SortExportsSeekfree=0.008740, BuildDependencyMap=0.106744, SerializeImportMap=0.017487, SerializeExportMap=0.030469, SerializeDependencyMap=0.020448, SerializeStringAssetReferenceMap=0.003617, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.202997, SerializeExports=14.513716, SerializeBulkData=0.009354, MoveFile=0.403099, UnaccountedTime=0.326514, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
SavePackageTransactionIdDC4410A0F54453E7213BC695F824FA1D_5, Filename=../../../../../../ianrapoport/Spring-Red-Creek/RedCreek/Content/RedCreek/Levels/AITests.umap, AutoPackageBackupDelegate=6.059203, FlushAsyncLoading=0.005465, FlushStreamingFunc=0.082541, BlockTillAllRequestsFinished=0.008605, ResetLoadersForSaveUnMarkAllObjects=130.262222, TagPackageExports=46.961407, BeginCacheForCookedPlatformData=0.006482, SerializeImports=44.783878, GatherLocalizableTextData=28.528299, MarkNames=0.125293, SerializeSummary=0.012193, SerializeNames=0.411857, SerializeGatherableTextData=0.132717, BuildExportMap=0.366319, SortExportsNonSeekfree=2.992321, SortExportsSeekfreeConstructor=0.066880, SortExportsSeekfreeInner=72.941528, SortExportsSeekfree=0.008956, BuildDependencyMap=0.337340, SerializeImportMap=0.092462, SerializeExportMap=0.188995, SerializeDependencyMap=0.028495, SerializeStringAssetReferenceMap=0.002727, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.795313, SerializeExports=128.200119, SerializeBulkData=7.136971, MoveFile=0.961509, UnaccountedTime=0.802048, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
