DDCTransactionIdC4D61F1C454E52502D595DB8F66DB5AF_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__A862D430A5BD3851806098886F46A0DB4C02712D, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=262407, Duration=0.082772, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdB021292748222AAF8FE0A587CD1FDBF2_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__5D8E67CBA0F04E790BD64833DFE9997DDB1D33F0, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=65799, Duration=0.032507, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__D3B9066E064FF8485C582FA787D958A7AE111964, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=16647, Duration=0.029799, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdB021292748222AAF8FE0A587CD1FDBF2_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=6899, Duration=0.036720, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.06, Duration=5.063545, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdB021292748222AAF8FE0A587CD1FDBF2_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=65795, Duration=0.029497, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___1978717988CE205C32B2214CC1D518693DF7C4D6, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=16643, Duration=0.020165, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdB021292748222AAF8FE0A587CD1FDBF2_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=6591, Duration=0.017155, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1471_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.06, Duration=0.415366, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdF2F671AF458A14CBA59115B53CDDDC26_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1__9908241BD20DF14A6AE05F8E6CA9BBBE24B07AB6, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=1186, Duration=0.024080, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.06, Duration=16.322964, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdB021292748222AAF8FE0A587CD1FDBF2_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__02B54665C520D91F5F701748C4780F8A6005FD33, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=8452, Duration=0.020765, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__BA34306FE8A99B5C640F036EF7E052585535A66C, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=3559, Duration=0.019867, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF39_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.06, Duration=2.012715, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF3__7716384CA42A2482D772493A287E45E486704A3F, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=65797, Duration=0.031002, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionIdF2F671AF458A14CBA59115B53CDDDC26_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF3__C4042932833ADBF653BE0F3E3601E57EBDF5D841, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=22665, Duration=0.019260, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8EB258B941998CE259F34EAFF0E3B246_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEFD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-01.54.06, Duration=1.794498, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
DDCTransactionId8FA851D1470CE95951FF7EB15DD3E6AC_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__752C88E79A6EEA422A7F7F21AFBC340AAA71BCC3, StartTime=2016.05.09-01.54.06, HierarchicalDDC=, DataSize=65797, Duration=0.028294, RunGuid=RunIDFB75BE924FEC3CE5D0235DA8F464B135
